timestamp,id,x,y,type,cell,simid
1761295508898,1,2901.66,1778.21,mc,3,1761295508798
1761295508898,2,2447.69,1590.79,mc,3,1761295508798
1761295508898,3,1761.58,2398.09,mc,4,1761295508798
1761295508898,4,1906.39,1060.71,mc,5,1761295508798
1761295508898,5,1425.35,2745.87,mc,4,1761295508798
1761295508898,6,2243.98,1917.05,mc,2,1761295508798
1761295508898,7,1411.62,2110.57,mc,4,1761295508798
1761295508898,8,2571.19,2362.95,mc,3,1761295508798
1761295508898,9,2506.79,1347.85,mc,1,1761295508798
1761295508898,10,1240.55,1990.88,mc,1,1761295508798
1761295508898,11,1620.45,1635.73,mc,5,1761295508798
1761295508898,12,2819.46,2344.49,mc,3,1761295508798
1761295508898,13,2581.26,1801.69,mc,3,1761295508798
1761295508898,14,1259.95,2578.14,mc,4,1761295508798
1761295508898,15,2664.03,2185.94,mc,3,1761295508798
1761295508998,1,2901.36,1778.1,mc,3,1761295508798
1761295508998,2,2447.77,1590.98,mc,3,1761295508798
1761295508998,3,1761.77,2397.93,mc,4,1761295508798
1761295508998,4,1906.11,1060.49,mc,5,1761295508798
1761295508998,5,1425.55,2746.04,mc,4,1761295508798
1761295508998,6,2244.25,1917.04,mc,2,1761295508798
1761295508998,7,1411.81,2110.86,mc,4,1761295508798
1761295508998,8,2571.15,2363.16,mc,3,1761295508798
1761295508998,9,2507.06,1347.69,mc,1,1761295508798
1761295508998,10,1240.21,1990.74,mc,1,1761295508798
1761295508998,11,1620.35,1635.51,mc,5,1761295508798
1761295508998,12,2819.72,2344.38,mc,3,1761295508798
1761295508998,13,2581.58,1801.8,mc,3,1761295508798
1761295508998,14,1259.75,2578.4,mc,4,1761295508798
1761295508998,15,2663.98,2185.57,mc,3,1761295508798
1761295509098,1,2901.06,1777.98,mc,3,1761295508798
1761295509098,2,2447.85,1591.17,mc,3,1761295508798
1761295509098,3,1761.97,2397.77,mc,4,1761295508798
1761295509098,4,1905.84,1060.27,mc,5,1761295508798
1761295509098,5,1425.76,2746.21,mc,4,1761295508798
1761295509098,6,2244.52,1917.03,mc,2,1761295508798
1761295509098,7,1412.01,2111.15,mc,4,1761295508798
1761295509098,8,2571.11,2363.37,mc,3,1761295508798
1761295509098,9,2507.32,1347.54,mc,1,1761295508798
1761295509098,10,1239.87,1990.59,mc,1,1761295508798
1761295509098,11,1620.25,1635.3,mc,5,1761295508798
1761295509098,12,2819.99,2344.28,mc,3,1761295508798
1761295509098,13,2581.91,1801.92,mc,3,1761295508798
1761295509098,14,1259.55,2578.66,mc,4,1761295508798
1761295509098,15,2663.93,2185.2,mc,3,1761295508798
